project,symbol,chain,apy,tvlUsd
pendle,SYUSD,Ethereum,4.32724,2122196
convex-finance,USDT-CRVUSD,Ethereum,4.31773,15576418
morpho-blue,LULOUSDC,Ethereum,4.30976,4111275
maple,USDT,Ethereum,4.30355,905471056
ethena-usde,SUSDE,Ethereum,4.29672,1783877745
strata-markets,SRNUSD,Ethereum,4.29604,5479324
aave-v3,USDE,Mantle,4.28,5863767
morpho-blue,ROXUSDCY,Ethereum,4.27325,6758980
curve-dex,SUSDAI-USDC,Arbitrum,4.27,1841080
gauntlet,GTUSDA,Ethereum,4.26413,1574667
folks-finance-lending,USDC,Algorand,4.26,1472390
aave-v3,SGHO,Ethereum,4.25,66948862
pendle,SRUSDE,Ethereum,4.23852,11230701
morpho-blue,STEAKUSDCINFINIFI,Ethereum,4.22357,4765169
sdai,SDAI,Gnosis,4.21789,74903469
pendle,APXUSD,Base,4.18369,3780300
morpho-blue,HUSDT,Ethereum,4.17692,7572463
convex-finance,FRXUSD-SUSDS,Ethereum,4.17456,1034748
exactly,USDC,OP Mainnet,4.15678,1620761
morpho-blue,BBQUSDC,Ethereum,4.14182,32524347
dolomite,USDC,Arbitrum,4.13871,1757256
exactly,USDC,OP Mainnet,4.13199,1620761
euler-v2,USDC,Monad,4.10507,2381725
euler-v2,USDT0,Plasma,4.08442,7005915
morpho-blue,GTUSDCC,Base,4.06106,1996894
morpho-blue,SPARKUSDC,Base,4.05704,8922284
frax,SFRXUSD,Ethereum,4.04942,32368376
sparklend,USDC,Ethereum,4.04289,3772096
exactly,USDC,OP Mainnet,4.0418,1620761
termmax,USDC,Base,4.02412,1261386
justlend,USDD,Tron,4.00442,303050717
morpho-blue,BBQUSDC,Ethereum,4.00214,23406368
aave-v3,SUSDE,Mantle,4.0,63903670
lista-lending,USDC,BSC,3.99289,1284494
exactly,USDC,OP Mainnet,3.98788,1620761
echelon-market,USD1,Aptos,3.98558,4230941
curve-dex,FRXUSD-SUSDS,Ethereum,3.9816,1625977
fluid-lending,USDC,Ethereum,3.97,7529968
exactly,USDC,OP Mainnet,3.96879,1620761
exactly,USDC,OP Mainnet,3.95981,1620761
exactly,USDC,OP Mainnet,3.94335,1620761
exactly,USDC,OP Mainnet,3.93956,1620761
exactly,USDC,OP Mainnet,3.9335,1620761
morpho-blue,BBQUSDCINFINIFI,Ethereum,3.9002,5591961
multipli.fi,RWAUSDI,Ethereum,3.888,126499658
multipli.fi,RWAUSDI,Base,3.888,113686193
autofinance,USDC,Ethereum,3.88461,8063609
sparklend,USDS,Ethereum,3.86766,841308569
concrete,SRROYUSDC,Ethereum,3.86631,12881018
uniswap-v3,USDC-USDT,Arbitrum,3.86428,2613268
pendle,APXUSD,Ethereum,3.86042,28245143
fluid-dex,REUSD-USDT,Ethereum,3.83977,11669337
echelon-market,IUSD,Echelon Initia,3.83467,1596933
lazy-summer-protocol,USDC,Base,3.83463,1381025
termmax,USDC,Ethereum,3.80218,1368863
3jane-lending,USD3,Ethereum,3.77166,20296497
navi-lending,USDY,Sui,3.7701,2331792
harvest-finance,USDC,Ethereum,3.76,1086764
aave-v3,SGHO,Ethereum,3.75,177861428
